,ID hecho,AAA,MM,DD,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,GRAVEDAD
239,LC-2019-0030754,2019,1,9,2019-01-09,,Varon,31.0,
240,LC-2019-0031883,2019,1,9,2019-01-09,,Mujer,55.0,
241,LC-2019-0018873,2019,1,10,2019-01-10,,Varon,49.0,
242,LC-2019-0019243,2019,1,10,2019-01-10,,Varon,29.0,
243,LC-2019-0020257,2019,1,10,2019-01-10,,Mujer,42.0,
244,LC-2019-0020260,2019,1,10,2019-01-10,,Varon,26.0,
245,LC-2019-0020420,2019,1,10,2019-01-10,,,,
246,LC-2019-0020451,2019,1,10,2019-01-10,,Varon,54.0,
247,LC-2019-0020496,2019,1,10,2019-01-10,,Mujer,62.0,
248,LC-2019-0020569,2019,1,10,2019-01-10,,Varon,24.0,
249,LC-2019-0020951,2019,1,10,2019-01-10,,Varon,12.0,
250,LC-2019-0020989,2019,1,10,2019-01-10,,Varon,33.0,
251,LC-2019-0021079,2019,1,10,2019-01-10,,Varon,34.0,
252,LC-2019-0021335,2019,1,10,2019-01-10,,Varon,39.0,
253,LC-2019-0021415,2019,1,10,2019-01-10,,Varon,31.0,
254,LC-2019-0093543,2019,1,10,2019-01-10,,Varon,36.0,
255,LC-2019-0021365,2019,1,11,2019-01-11,,Varon,42.0,
256,LC-2019-0021365,2019,1,11,2019-01-11,,Varon,42.0,
257,LC-2019-0021365,2019,1,11,2019-01-11,,Mujer,28.0,
258,LC-2019-0021434,2019,1,11,2019-01-11,,Varon,24.0,
259,LC-2019-0021709,2019,1,11,2019-01-11,,Varon,60.0,
260,LC-2019-0021896,2019,1,11,2019-01-11,,Varon,,
261,LC-2019-0021896,2019,1,11,2019-01-11,,Varon,,
262,LC-2019-0022026,2019,1,11,2019-01-11,,Varon,,
263,LC-2019-0022105,2019,1,11,2019-01-11,,Varon,41.0,
264,LC-2019-0022106,2019,1,11,2019-01-11,,,,
265,LC-2019-0022174,2019,1,11,2019-01-11,,Varon,44.0,
266,LC-2019-0022256,2019,1,11,2019-01-11,,Mujer,,
267,LC-2019-0022273,2019,1,11,2019-01-11,,Varon,41.0,
268,LC-2019-0022275,2019,1,11,2019-01-11,,Mujer,54.0,
269,LC-2019-0022298,2019,1,11,2019-01-11,,Mujer,67.0,
270,LC-2019-0022348,2019,1,11,2019-01-11,,Mujer,74.0,
271,LC-2019-0022492,2019,1,11,2019-01-11,,Mujer,64.0,
272,LC-2019-0022559,2019,1,11,2019-01-11,,Varon,34.0,
273,LC-2019-0022606,2019,1,11,2019-01-11,,Mujer,36.0,
274,LC-2019-0022650,2019,1,11,2019-01-11,,Mujer,25.0,
275,LC-2019-0022670,2019,1,11,2019-01-11,,Mujer,35.0,
276,LC-2019-0022774,2019,1,11,2019-01-11,,Varon,,
277,LC-2019-0022790,2019,1,11,2019-01-11,,Mujer,43.0,
278,LC-2019-0023022,2019,1,11,2019-01-11,,Varon,30.0,
279,LC-2019-0023164,2019,1,11,2019-01-11,,Mujer,58.0,
280,LC-2019-0023309,2019,1,11,2019-01-11,,Varon,41.0,
281,LC-2019-0023360,2019,1,11,2019-01-11,,Varon,26.0,
282,LC-2019-0023362,2019,1,11,2019-01-11,,Varon,42.0,
283,LC-2019-0023485,2019,1,11,2019-01-11,,Varon,22.0,
284,LC-2019-0023488,2019,1,11,2019-01-11,,Varon,,
285,LC-2019-0023539,2019,1,11,2019-01-11,,Varon,,
286,LC-2019-0023555,2019,1,11,2019-01-11,,Varon,29.0,
287,LC-2019-0023599,2019,1,11,2019-01-11,,Mujer,,
288,LC-2019-0023727,2019,1,11,2019-01-11,,Varon,36.0,
289,LC-2019-0024103,2019,1,11,2019-01-11,,Varon,45.0,
290,LC-2019-0024454,2019,1,11,2019-01-11,,Varon,23.0,
291,LC-2019-0032150,2019,1,11,2019-01-11,,Varon,25.0,
292,LC-2019-0040263,2019,1,11,2019-01-11,,Mujer,,
293,LC-2019-0687058,2019,1,11,2019-01-11,,varon,34.0,
294,LC-2019-0688515,2019,1,11,2019-01-11,,varon,37.0,
295,LC-2019-0023692,2019,1,12,2019-01-12,,Mujer,24.0,
296,LC-2019-0023692,2019,1,12,2019-01-12,,Varon,24.0,
