,ID hecho,MM,FECHA ,VEHICULO_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,AÑO,semestre
17554,LC-2020-0631583,11,2020-11-26,MOTO,Mujer,57.0,2020,S2H2
17555,LC-2020-0633085,11,2020-11-27,MOTO,Mujer,41.0,2020,S2H2
17556,LC-2020-0633085,11,2020-11-27,MOTO,Varon,47.0,2020,S2H2
17557,LC-2020-0638474,12,2020-12-01,,Varon,31.0,2020,S2H2
17558,LC-2020-0638920,12,2020-12-01,,Varon,30.0,2020,S2H2
17559,LC-2020-0639025,12,2020-12-01,,Varon,56.0,2020,S2H2
17560,LC-2020-0643509,12,2020-12-04,,Varon,55.0,2020,S2H2
17561,LC-2020-0645270,12,2020-12-05,MOTO,Varon,30.0,2020,S2H2
17562,LC-2020-0645300,12,2020-12-05,,Mujer,76.0,2020,S2H2
17563,LC-2020-0655321,12,2020-12-13,,Varon,,2020,S2H2
17564,LC-2020-0655895,12,2020-12-13,,Varon,22.0,2020,S2H2
17565,LC-2020-0666949,12,2020-12-19,,Varon,25.0,2020,S2H2
17566,LC-2020-0666949,12,2020-12-19,,Varon,31.0,2020,S2H2
17567,LC-2020-0676455,12,2020-12-26,,Varon,27.0,2020,S2H2
17568,LC-2020-0681871,12,2020-12-29,,Varon,59.0,2020,S2H2
17569,LC-2020-0009813,1,2020-01-06,PEATON,Mujer,61.0,2020,S2H1
17570,LC-2020-0026742,1,2020-01-13,UTILITARIO,,8.0,2020,S2H1
17571,LC-2020-0032540,1,2020-01-16,MOTO,Varon,37.0,2020,S2H1
17572,LC-2020-0036459,1,2020-01-17,AUTO,Varon,39.0,2020,S2H1
17573,LC-2020-0104501,2,2020-02-17,MOTO,Varon,,2020,S2H1
17574,LC-2020-0133038,3,2020-03-02,MOTO,,,2020,S2H1
17575,LC-2020-0184074,3,2020-03-30,AUTO,Mujer,56.0,2020,S2H1
17576,LC-2020-0189392,4,2020-04-05,AUTO,,,2020,S2H1
17577,LC-2020-0227918,5,2020-05-05,AUTO,Varon,38.0,2020,S2H1
17578,LC-2020-0236552,5,2020-05-12,CICLISTA,Varon,51.0,2020,S2H1
17579,LC-2020-0240190,5,2020-05-14,CAMION,Varon,36.0,2020,S2H1
17580,LC-2020-0297309,6,2020-06-13,AUTO,Varon,51.0,2020,S2H1
17581,LC-2020-0315167,6,2020-06-18,CICLISTA,Mujer,20.0,2020,S2H1
17582,LC-2020-0370749,6,2020-06-27,MOTO,Mujer,19.0,2020,S2H1
17583,LC-2020-0376182,6,2020-06-29,AUTO,Varon,23.0,2020,S2H1
17584,LC-2020-0386917,7,2020-07-02,MOTO,Varon,22.0,2020,S2H2
17585,LC-2020-0422539,7,2020-07-08,PEATON,Varon,39.0,2020,S2H2
17586,LC-2020-0472599,8,2020-08-10,,Mujer,18.0,2020,S2H2
17587,LC-2020-0472599,8,2020-08-10,,Mujer,50.0,2020,S2H2
17588,LC-2020-0485992,8,2020-08-19,MOTO,Varon,48.0,2020,S2H2
17589,LC-2020-0486012,8,2020-08-19,MOTO,Mujer,26.0,2020,S2H2
17590,LC-2020-0489307,8,2020-08-21,MOTO,Varon,30.0,2020,S2H2
17591,LC-2020-0500345,8,2020-08-31,CICLISTA,Mujer,38.0,2020,S2H2
17592,LC-2020-0522182,9,2020-09-16,AUTO,Varon,41.0,2020,S2H2
17593,LC-2020-0535441,9,2020-09-24,PEATON,,,2020,S2H2
17594,LC-2020-0536893,9,2020-09-25,MOTO,Varon,28.0,2020,S2H2
17595,LC-2020-0543377,9,2020-09-30,MOTO,,,2020,S2H2
