,ID_hecho,FECHA,ROL,VICTIMA,SEXO,EDAD,GRAVEDAD
85,2016-0111,2016-08-25,CONDUCTOR,MOTO,MASCULINO,27.0,FATAL
86,2016-0112,2016-08-27,CONDUCTOR,MOTO,MASCULINO,24.0,FATAL
87,2016-0113,2016-08-27,PEATON,PEATON,FEMENINO,60.0,FATAL
88,2016-0114,2016-08-31,CICLISTA,BICICLETA,FEMENINO,55.0,FATAL
89,2016-0115,2016-09-02,,,MASCULINO,,FATAL
90,2016-0116,2016-09-02,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
91,2016-0117,2016-09-03,CONDUCTOR,AUTO,MASCULINO,43.0,FATAL
92,2016-0118,2016-09-04,CONDUCTOR,AUTO,MASCULINO,27.0,FATAL
93,2016-0119,2016-09-04,PASAJERO_ACOMPAÑANTE,,FEMENINO,,FATAL
94,2016-0122,2016-09-13,CICLISTA,BICICLETA,MASCULINO,49.0,FATAL
95,2016-0123,2016-09-14,CONDUCTOR,MOTO,FEMENINO,58.0,FATAL
96,2016-0124,2016-09-16,PEATON,PEATON,MASCULINO,67.0,FATAL
97,2016-0125,2016-09-17,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
98,2016-0126,2016-09-18,CONDUCTOR,AUTO,MASCULINO,37.0,FATAL
99,2016-0126,2016-09-18,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60.0,FATAL
100,2016-0127,2016-09-24,PEATON,PEATON,MASCULINO,50.0,FATAL
101,2016-0128,2016-10-02,PEATON,PEATON,FEMENINO,81.0,FATAL
102,2016-0130,2016-10-04,CONDUCTOR,MOTO,MASCULINO,29.0,FATAL
103,2016-0131,2016-10-09,PEATON,PEATON,MASCULINO,35.0,FATAL
104,2016-0132,2016-10-10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30.0,FATAL
105,2016-0133,2016-10-14,CONDUCTOR,MOTO,MASCULINO,41.0,FATAL
106,2016-0134,2016-10-23,CONDUCTOR,MOTO,MASCULINO,25.0,FATAL
107,2016-0135,2016-10-24,PEATON,PEATON,MASCULINO,29.0,FATAL
108,2016-0136,2016-10-25,CONDUCTOR,MOTO,,,FATAL
109,2016-0137,2016-10-25,CONDUCTOR,MOTO,MASCULINO,30.0,FATAL
110,2016-0138,2016-10-27,CICLISTA,BICICLETA,FEMENINO,33.0,FATAL
111,2016-0139,2016-10-28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35.0,FATAL
112,2016-0140,2016-10-31,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20.0,FATAL
113,2016-0142,2016-11-05,CONDUCTOR,MOTO,MASCULINO,46.0,FATAL
114,2016-0143,2016-11-06,CONDUCTOR,MOTO,MASCULINO,35.0,FATAL
115,2016-0144,2016-11-07,PEATON,PEATON,MASCULINO,83.0,FATAL
116,2016-0145,2016-11-07,CONDUCTOR,MOTO,MASCULINO,39.0,FATAL
117,2016-0146,2016-11-09,PEATON,PEATON,FEMENINO,29.0,FATAL
118,2016-0147,2016-11-16,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55.0,FATAL
119,2016-0148,2016-11-16,CONDUCTOR,MOTO,MASCULINO,,FATAL
120,2016-0150,2016-11-18,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41.0,FATAL
121,2016-0151,2016-11-18,PEATON,PEATON,,,FATAL
122,2016-0152,2016-11-23,CONDUCTOR,MOTO,MASCULINO,42.0,FATAL
123,2016-0153,2016-11-25,PEATON,PEATON,FEMENINO,83.0,FATAL
124,2016-0154,2016-11-26,CONDUCTOR,MOTO,MASCULINO,38.0,FATAL
125,2016-0155,2016-11-26,PEATON,PEATON,FEMENINO,29.0,FATAL
126,2016-0156,2016-11-26,CONDUCTOR,MOTO,MASCULINO,23.0,FATAL
127,2016-0157,2016-12-03,CONDUCTOR,MOTO,MASCULINO,23.0,FATAL
128,2016-0159,2016-12-04,CONDUCTOR,AUTO,MASCULINO,23.0,FATAL
129,2016-0160,2016-12-06,CONDUCTOR,CARGAS,MASCULINO,29.0,FATAL
130,2016-0161,2016-12-06,PEATON,PEATON,MASCULINO,50.0,FATAL
131,2016-0162,2016-12-07,PEATON,PEATON,MASCULINO,38.0,FATAL
132,2016-0163,2016-12-10,CONDUCTOR,MOTO,MASCULINO,23.0,FATAL
133,2016-0164,2016-12-11,CONDUCTOR,AUTO,MASCULINO,29.0,FATAL
134,2016-0165,2016-12-12,CICLISTA,BICICLETA,MASCULINO,37.0,FATAL
135,2016-0168,2016-12-13,CONDUCTOR,MOTO,MASCULINO,43.0,FATAL
136,2016-0169,2016-12-15,CONDUCTOR,MOTO,MASCULINO,24.0,FATAL
137,2016-0170,2016-12-19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21.0,FATAL
138,2016-0171,2016-12-25,CONDUCTOR,MOTO,,,FATAL
139,2016-0172,2016-12-26,CONDUCTOR,MOTO,MASCULINO,38.0,FATAL
140,2016-0173,2016-12-26,CONDUCTOR,MOTO,MASCULINO,35.0,FATAL
141,2016-0174,2016-12-27,,,,,FATAL
142,2016-0175,2016-12-27,PEATON,PEATON,FEMENINO,,FATAL
143,2016-0176,2016-12-28,CONDUCTOR,MOTO,MASCULINO,28.0,FATAL
144,2016-0177,2016-12-29,PEATON,PEATON,FEMENINO,27.0,FATAL
145,2016-0178,2016-12-30,PEATON,PEATON,FEMENINO,7.0,FATAL
146,2017-0001,2017-01-02,CONDUCTOR,MOTO,MASCULINO,18.0,FATAL
147,2017-0003,2017-01-05,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33.0,FATAL
148,2017-0007,2017-01-11,PEATON,PEATON,MASCULINO,48.0,FATAL
149,2017-0008,2017-01-16,CONDUCTOR,MOTO,MASCULINO,29.0,FATAL
150,2017-0009,2017-01-16,CONDUCTOR,MOTO,MASCULINO,36.0,FATAL
151,2017-0010,2017-01-16,CONDUCTOR,MOTO,MASCULINO,23.0,FATAL
